Key,File,Type,english,japanese
journalTipbackPack,WhiteRiverToC_zPOWER_UP_KIT,items,"The current skills are rearranged in a Class style, with five skill groups plus ""Unemployed,"" for a total of six occupations, each of which is chosen by the player. Changes to the current five skills: General perks, excluding combat special skills, have been consolidated into a separate category and can be upgraded in a timely manner, regardless of the level of the parent skill. Skill levels are now capped at 3, and skills are unlocked by equipping the appropriate backpack, rather than by skill points. Higher skill level backpacks can be crafted with materials from timely available duke notes and current backpacks. The advantages and disadvantages of choosing specific skills can enhance the Combat Special Skills Perk. Unlocks crafting of related items. Craft tier 1 at highest skill level. (Quality 6 can be created.) Action skills are opened and related items can be enhanced in a timely manner. After level 2, only relevant weapons will be available. Backpack capacity is limited. Advantages and disadvantages of choosing the unemployed ""Unemployed"" can be used with any weapon. There is no backpack capacity limitation. There is no benefit of unlocking crafted items. (Same specifications as before) Combat special skill perk cannot be opened. About changing jobs: By dismantling the backpack, the unemployed ""Suppin"" backpack will be returned, and you can change jobs by re-crafting and equipping it.",[DECEA3]概要[-]:\n現行のスキルを職業風にアレンジします。5つのスキル群に加え、「すっぴん(無職)」の計6職業に分け、プレイヤーは各々の職業を選んでプレイします。\n\n[DECEA3]仕様[-]:\n・現行スキルのレベルは最高3とし、ポイント振りの代わりに、対象のバックパックを装備をすることでスキルが開放される\n。各スキルレベルのバックパックは、トレーダークエストティア完了ごとに配布される、[DECEA3]市民カード[-]を素材にしてクラフトできる。\n・職業バックパックは戦闘特殊技能、関連アイテムのクラフトがアンロックされ、最高スキルレベルでクラフトティアが+1される(品質6が作成可能)。しかし、レベル２以降は関連する武器のみ利用可能になり、バックパックの容量制限の影響がある。\n・すっぴん(無職)は、運搬キャパシティが+60であり、武器利用制限がない。しかし、クラフトアイテムのアンロックの恩恵がなく(従来通りスキルマガジンによるアンロック仕様)、戦闘特殊技能パークを開放できない。
journalTipbackPack_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Backpack Equipment,[DECEA3]WRC[-] - バックパック装備について
journalTipchallengeQuest,WhiteRiverToC_zPOWER_UP_KIT,items,"OverviewReprint the challenge quests that existed in previous versions. Spec.: The start of the quest will be set closer together. Raise the overall difficulty level. Visit [DECEA3] White River Citizen Trader [-], who is wandering around the area.",[DECEA3]概要[-]:\n以前のバージョンで存在したチャレンジクエストを復刻させます。\n\n[DECEA3]仕様[-]:\n・クエスト開始はより近くに設定する。\n・難易度を全体的に底上げする。\n・各地で放浪している、[DECEA3]ホワイト・リバー市民トレーダー[-]で購入するようにした。
journalTipchallengeQuest_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Challenge Quest reprint,[DECEA3]WRC[-] - チャレンジクエストの復刻
journalTipcraftingSkills,WhiteRiverToC_zPOWER_UP_KIT,items,"Additional adjustments will be made to craft skills. \n[DECEA3]Spec.[-]:\n unlocking and leveling up by reading books will remain unchanged. (Currently, they remain unchanged.) In a separate job skill to be added, unlocking of items related to the combat special skill will be added. The highest level, 3, would be reached with an additional crafting tier of 1. (Quality 6 can be crafted.) Base items such as stone axes, pipes, etc. will be craftable with any skill.",[DECEA3]概要[-]:\nクラフトスキルに対して追加調整を行います。\n\n[DECEA3]仕様[-]:\n・本の読了によるアンロック、レベルアップは据え置き(現行のまま)\n・別途追加する職業スキルにおいて、戦闘特殊技能に関連するアイテムのアンロックを加える。\n・最高レベルの3に到達することで、さらにクラフトティアを+1とする(品質6をクラフト可)。\n・石斧、パイプ系等のベースアイテムについては、どのスキルでもクラフト可能とする。
journalTipcraftingSkills_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Craft skill adjustments,[DECEA3]WRC[-] - クラフトスキルの調整
journalTipdrinkJarEmpty,WhiteRiverToC_zPOWER_UP_KIT,items,"Adjustments will be made to the unnatural tampering of water. \nSpecs: reprint empty bottles and set stack count at 10. Removed the increase in the heat value of the rainwater collector. Only ""muddy water"" can be collected by rainwater collectors. Set the number of stacks of muddy water to 10. The use of hot water and muddy water to empty bottles will be reintroduced. Muddy water or hot water can be crafted from water buckets and empty bottles. The crafting of the empty bottle itself will not be reinstated. Enable the crafting of muddy or hot water from snowballs.",[DECEA3]概要[-]:\n水の不自然な改悪に対する調整を行います。\n\n[DECEA3]仕様[-]:\n・空き瓶を復刻し、スタック数を10とする。\n・雨水収集機のヒート値上昇を削除。\n・雨水収集機で収集できるのは”泥水”とする。\n・泥水のスタック数を10とする。\n・お湯と泥水使用後の空き瓶化を復刻させる。\n・水入りバケツと空き瓶で、泥水またはお湯をクラフトできるようにする。・空き瓶自体のクラフトは復刻させない。\n・雪玉から泥水またはお湯をクラフトできるようにする。
journalTipdrinkJarEmpty_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Adjustment of water acquisition,[DECEA3]WRC[-] - 水の取得に関する調整
journalTiplootableZombie,WhiteRiverToC_zPOWER_UP_KIT,items,"Adjust the balance between recovery from zombies and the probability of yellow bags appearing and their contents. \nSpec: Extend the remaining time of yellow bags to increase motivation to participate in the horde. Make it possible to loot from zombies. Set yellow bags' lifetime to 60 minutes, set the lifetime of fallen zombies to 10 seconds, and adjust loot.",[DECEA3]概要[-]:\nゾンビからの回収と、黄色バックの出現確率、中身についてバランス調整をします。\n\n[DECEA3]仕様[-]:\n・黄色バックの残置時間を延長してホード参加へのモチベーションを向上させる。\n・ゾンビから略奪可能とする。\n・黄色バックの残置時間を60分に設定。\n・倒したゾンビの残置時間を10秒に設定。
journalTiplootableZombie_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Looting from defeated zombies,[DECEA3]WRC[-] - 倒したゾンビからの略奪
journalTipskillMagazine,WhiteRiverToC_zPOWER_UP_KIT,items,"Adjust against the Skills Magazine. Visit [DECEA3] White River Citizen Trader [-], who is roaming around the area.",[DECEA3]概要[-]:\nスキルマガジンに対して調整します。\n\n[DECEA3]仕様[-]:\n・スキルマガジンは既存トレーダーでの販売を取りやめる。\n・新規で追加する、[DECEA3]ホワイト・リバー市民トレーダー[-]で販売することとする。
journalTipskillMagazine_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Adjustments to skill magazines,[DECEA3]WRC[-] - スキルマガジンに対する調整
journalTiptraderGeneral,WhiteRiverToC_zPOWER_UP_KIT,items,The trader will be open 24 hours a day to improve convenience and to accommodate beginners. \n\n[DECEA3]Spec.[-]:\n \nOpen 24/7. \nAllow traders to reset quests at their discretion.,[DECEA3]概要[-]:\nトレーダーを24時間営業とし、利便性の向上と、初心者への配慮を行います。\n\n[DECEA3]仕様[-]:\n・24時間営業とした。\n・クエストリセットを任意に行えるようにした。
journalTiptraderGeneral_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Adjustments for traders,[DECEA3]WRC[-] -  トレーダーに対する調整
journalTipwastelandRadiation,WhiteRiverToC_zPOWER_UP_KIT,items,Contaminates wastelands and requires protective clothing to combat. \n[DECEA3]Spec.[-]:\n Contamination debuff is added within the wastelands. Protected by hazmat suit. Full protection by wearing a full body suit. Added dedicated quest for obtaining Hazmat suit. Abombed Hazmat Team (Challenge) now spawns in any wasteland.,[DECEA3]概要[-]:\n荒れ地を汚染化し、対策には防護服を必要とします。\n\n[DECEA3]仕様[-]:\n・荒れ地内では汚染デバフが付加される。\n・ハズマットスーツにより保護される(全身着用で完全保護)。\n・ハズマットスーツ入手のための専用クエストの追加。\n・被爆した危険物処理班 (チャレンジ)を任意の荒れ地でスポーンするようにした。
journalTipwastelandRadiation_title,WhiteRiverToC_zPOWER_UP_KIT,items,[DECEA3]WRC[-] - Pollution of wastelands,[DECEA3]WRC[-] - 荒れ地の汚染化
lblCategoryQuests,WhiteRiverToC_zPOWER_UP_KIT,ui_display,Quests,クエスト
lblEyewear,WhiteRiverToC_zPOWER_UP_KIT,items,Accessoire,メガネ
lblFace,WhiteRiverToC_zPOWER_UP_KIT,items,Back,顔
,,,,
,,,,
,,,,
lblWRC_Backpacks,WhiteRiverToC_zPOWER_UP_KIT,ui_display,Skill Backpack,スキルバックパック
lblWRC_Cards,WhiteRiverToC_zPOWER_UP_KIT,ui_display,WRC Cards,WRCカード
lblWRC_Coins,WhiteRiverToC_zPOWER_UP_KIT,ui_display,WRC Coins,WRCコイン
lblWRC_Crates,WhiteRiverToC_zPOWER_UP_KIT,ui_display,WRC Crates,WRCクレート
lblWRC_Quests,WhiteRiverToC_zPOWER_UP_KIT,ui_display,WRC Quests,WRCクエスト
lblWRC_Tools,WhiteRiverToC_zPOWER_UP_KIT,ui_display,WRC Tools,WRCツール
lblWRC_Traders,WhiteRiverToC_zPOWER_UP_KIT,ui_display,WRC Traders,WRCトレーダー
loadingTipattGeneral,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,"General Perk has been changed to the ""General Skills"" category. It can be leveled up regardless of the parent skill, but requires 3p per level.",一般パークは「一般スキル」カテゴリに変更しました。親スキルに関係なくレベルアップできますが、1レベルにつき3P必要です。
loadingTipattGeneral_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,General Perks,[DECEA3]WRC[-] - 一般パークに対する調整
loadingTipbackPack,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,"Each combat skill is upgraded by equipping a special backpack. There are three types of backpacks, each from beginner to advanced. \nCraft: [DECEA3]WRC Station[-].",戦闘技能のスキルはそれぞれ専用のバックパックを装備することによって、レベルアップするようにしました。バックパックは初級から上級までそれぞれ3種類あります。\nクラフト: [DECEA3]WRCステーション[-]
loadingTipbackPack_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Adjustments to skills,[DECEA3]WRC[-] - スキルに対する調整
loadingTipchallengeQuest,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,"We are reprinting a challenge quest that existed in previous versions. Visit [DECEA3] White River Citizen Trader [-], who is wandering in various locations.",以前のバージョンで存在したチャレンジクエストを復刻させます。各地で放浪している、[DECEA3]ホワイト・リバー市民トレーダー[-]を訪ねてください。
loadingTipchallengeQuest_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Challenge Quest reprint,[DECEA3]WRC[-] - チャレンジクエストの復刻
loadingTipcraftingSkills,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,"Additional adjustments for craft skills. Craft skills will remain unchanged in terms of leveling up by reading books. In Class skills, in addition to unlocking related items, reaching the highest level of 3 will result in an additional craft tier of 1.",クラフトスキルに対して追加調整します。クラフトスキルは本の読了によるレベルアップは据え置き。職業スキルにおいて、関連アイテムのアンロックに加え、最高レベルの3に到達することで、さらにクラフトティアを+1とします。
loadingTipcraftingSkills_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Craft skill adjustments,[DECEA3]WRC[-] - クラフトスキルの調整
loadingTipdrinkJarEmpty,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,Adjustments are made for unnatural modification of water to return empty bin.,空き瓶を復刻させ、水の不自然な改悪に対する調整を行います。
loadingTipdrinkJarEmpty_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Adjustment of water acquisition,[DECEA3]WRC[-] - 水の取得に関する調整
loadingTiplootableZombie,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,Adjust the balance between recovery from zombies and the probability of yellow bags appearing and their contents. Extend the remaining time of the yellow bag to improve motivation to participate in the horde.,ゾンビからの回収と、黄色バックの出現確率、中身についてバランス調整をします。黄色バックの残置時間を延長してホード参加へのモチベーションを向上させます。
loadingTiplootableZombie_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Looting from defeated zombies,[DECEA3]WRC[-] - 倒したゾンビからの略奪
loadingTipskillMagazine,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,"Adjust against the Skills Magazine. Visit [DECEA3] White River Citizen Trader [-], who is roaming around the area.",スキルマガジンに対して調整します。各地で放浪している、[DECEA3]ホワイト・リバー市民トレーダー[-]を訪ねてください。
loadingTipskillMagazine_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Adjustments to skill magazines,[DECEA3]WRC[-] - スキルマガジンに対する調整
loadingTiptraderGeneral,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,"We will allow traders to operate 24 hours a day and to reset quests at will, improving convenience and taking care of beginners.",トレーダーを24時間営業、クエストリセットを任意に行えるようにし、利便性の向上と、初心者への配慮を行います。
loadingTiptraderGeneral_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Adjustments for traders,[DECEA3]WRC[-] - トレーダーに対する調整
loadingTipwastelandRadiation,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,It contaminates wastelands and requires protective clothing to combat.,荒れ地を汚染化し、対策には防護服を必要とします。
loadingTipwastelandRadiation_title,WhiteRiverToC_zPOWER_UP_KIT,loadingscreen,[DECEA3]WRC[-] - Pollution of wastelands,[DECEA3]WRC[-] - 荒れ地の汚染化
lootTooltipNew,WhiteRiverToC_zPOWER_UP_KIT,,{0} Search {1} (Untouched),{0} {1}を調べる [DECEA3](確認未)[-]
lootTooltipTouched,WhiteRiverToC_zPOWER_UP_KIT,,{0} Search {1},{0} {1}を調べる (確認済)
medicalVengeanceFirstAidKit,WhiteRiverToC_Spirit_of_Vengence,items,[7fa6ff]Vengeance[-] First Aid Kit,[7fa6ff]復讐魂[-] - 救急箱
medicalVengeanceFirstAidKitDesc,WhiteRiverToC_Spirit_of_Vengence,items,A First Aid Kit unlike anything you've seen before. A slow-acting heal over time for an insane amount of health.,今までに見たことのない救急キット。時間をかけてゆっくりと回復し、非常識な量のヘルスを回復する。
meleeToolShovelT0TazasStoneShovel,WhiteRiverToC_zPOWER_UP_KIT,items,Taza's Stone Excavator,タサの石ショベル
meleeWpnSledgeT0TazasStoneSledgehammer,WhiteRiverToC_zPOWER_UP_KIT,items,Taza's Stone Sledgehammer,タサの石スレッジハンマー
meleeWpnSpearT0TazasStoneSpear,WhiteRiverToC_zPOWER_UP_KIT,items,Taza's stone spear,タサの石槍
MwhiteRiver,WhiteRiverToC_zPOWER_UP_KIT,materials,WR Citizen P,WR市民P
npc_whiteRiver_Trader1,WhiteRiverToC_zPOWER_UP_KIT,npc,White River [2eb200] Taza [-] Trader,[2eb200] タザ [-]トレーダー
qc_itsjustbusinessman,WhiteRiverToC_zPOWER_UP_KIT,,It's Just Business Man,ビジネス・マン
qc_partyallthetime,WhiteRiverToC_zPOWER_UP_KIT,,Party All the Time,パーティー・オール・ザ・タイム
qc_Tazas,WhiteRiverToC_Tazas_Axe,items,[2eb200]Taza[-] - Challenge,[2eb200]タザ[-] - チャレンジ
qc_TazasDesc,WhiteRiverToC_Tazas_Axe,items,[2eb200]Taza[-] - Challenge,[2eb200]タザ[-] - チャレンジ
qc_zombieHazmat,WhiteRiverToC_zPOWER_UP_KIT,,Hazardous Materials Handling - Challenge,危険物処理 - チャレンジ
qt_Tazas,WhiteRiverToC_Tazas_Axe,items,[2eb200]Taza[-] - Treasure,[2eb200]タザ[-] - トレジャー
qt_TazasDesc,WhiteRiverToC_Tazas_Axe,items,[2eb200]Taza[-] - Treasure,[2eb200]タザ[-] - トレジャー
quest_buried_supplies_Defend_Amelias_completion,WhiteRiverToC_Tazas_Axe,item,Quest Reward: WRC[2eb200]Citizen[-] Random Crate,クエスト報酬: WRC[2eb200]一般市民[-]ランダムクレート
quest_buried_supplies_Defend_Amelias_response,WhiteRiverToC_Amelias_Gyrocopter,quest,[2eb200]Taza's Axe[-] ([DECEA3]{poi.distance} {poi.direction}[-]),[7fa6ff][アメリア・イアハート][-] ([DECEA3]{poi.distance} {poi.direction}[-])
quest_Defend_Vengeance_completion,WhiteRiverToC_Tazas_Axe,item,Quest Reward: WRC[2eb200]Citizen[-] Random Crate,クエスト報酬: WRC[2eb200]一般市民[-]ランダムクレート
quest_defend_Vengeance_response,WhiteRiverToC_Spirit_of_Vengence,quest,[7fa6ff]Vengeance[-] ([DECEA3]{poi.distance} {poi.direction}[-]),[7fa6ff][復讐魂][-] ([DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_defend_Tazas_response,WhiteRiverToC_Tazas_Axe,quest,[2eb200]Taza's Axe[-] ([DECEA3]{poi.distance} {poi.direction}[-]),[2eb200]伝説のタザ[-] ([DECEA3]{poi.distance} {poi.direction}[-])
quest_spirit_vengeance_description,WhiteRiverToC_Spirit_of_Vengence,Quest,Help Johnny Blaze defeat an evil demon and obtain [7fa6ff]the spirit of vengeance's hell beast[-].,ジャガーノートを倒し、[7fa6ff]ヘルビースト[-]を入手する。\n[DECEA3]注意[-]: ボスゾンビの討伐は任意です。
quest_spirit_vengeance_name,WhiteRiverToC_Spirit_of_Vengence,Quest,[7fa6ff]Amelia Earhart's[-] Hell Beast,[7fa6ff][アメリア・イアハート][-] - ヘルビースト
quest_spirit_vengeance_offer,WhiteRiverToC_Spirit_of_Vengence,Quest,"The trader's friend Johnny Blaze needs some community help to defeat a juggernaut demon. Help Mr. Blaze defeat the evil demon, and in return, obtain the spirit of vengeance's hell beast for your eternal enjoyment. The trader suggests it may be a good idea to bring a friend with some extra first aid kits, and lots of ammo.",トレーダーの友人ジョニー・ブレイズは、ジャガーノートの悪魔を倒すために地域の助けを必要としている。ミスター・ブレイズがジャガーノートを倒すのを手伝い、その見返りとして、永遠の楽しみのために復讐の魂のヘルビーストを手に入れよう。トレーダーは、応急処置キットと弾薬をたくさん持っている友人を連れてくることを勧める。
quest_spirit_vengeance_statement,WhiteRiverToC_Spirit_of_Vengence,Quest,Kill the evil demon to obtain a [7fa6ff]Hell Beast[-],ジャガーノートを倒し、[7fa6ff]ヘルビースト[-]を入手する。
quest_tier1_fetch_defend_Tazas,WhiteRiverToC_Tazas_Axe,quest,[2eb200]Taza's[-],[2eb200]伝説のタザ[-]
quest_tier2_fetch_defend_Tazas,WhiteRiverToC_Tazas_Axe,quest,[2eb200]Taza's[-],[2eb200]伝説のタザ[-]
quest_tier3_fetch_defend_Tazas,WhiteRiverToC_Tazas_Axe,quest,[2eb200]Taza's[-],[2eb200]伝説のタザ[-]
quest_tier4_fetch_defend_Tazas,WhiteRiverToC_Tazas_Axe,quest,[2eb200]Taza's[-],[2eb200]伝説のタザ[-]
quest_tier5_fetch_defend_Tazas,WhiteRiverToC_Tazas_Axe,quest,[2eb200]Taza's[-],[2eb200]伝説のタザ[-]
quest_toc_amelia1_description,WhiteRiverToC_Amelias_Gyrocopter,Quest,Go to the place where Amelia Earhart is buried.\n [DECEA3]Note[-]: Defeating the boss zombie is optional.,アメリア・イアハートが埋葬されている場所へいく。\n[DECEA3]注意[-]: ボスゾンビの討伐は任意です。
quest_toc_amelia1_name,WhiteRiverToC_Amelias_Gyrocopter,Quest,The map to [7fa6ff]Amelia's coffin[-],[7fa6ff][アメリア・イアハート][-]の棺
quest_toc_amelia1_offer,WhiteRiverToC_Amelias_Gyrocopter,Quest,"The trader previously mentioned to you that another survivor sold them a map that supposedly has the location where Amelia Earhart was buried. At the time, you had scoffed at this suggestion as the common belief is her plane went down over water. But then you had recalled that there was one theory that suggested she may have landed on an island. The trader mentioned to you that they would sell you the map for 5,000 Dukes. Collect 5,000 Dukes and return to the trader.","その貿易商は以前、別の生存者がアメリア・イアハートが埋葬されたとされる場所を記した地図を売ったとあなたに話した。そのときあなたは、アメリア・イアハートの飛行機は海上に落ちたというのが通説であるとして、この提案を一笑に付した。しかし、アメリア・イアハートが島に着陸したという説があることを思い出した。トレーダーはあなたに、5,000デュークで地図を売ると言った。5,000デュークを集め、トレーダーに戻る。"
quest_toc_amelia2_statement,WhiteRiverToC_Amelias_Gyrocopter,Quest,Find Amelia Earhart's coffin to discover the truth of her final days.,アメリア・イアハートの棺を探し出し、彼女の最期の真実を探る。
quest_toc_amelia2_subtitle,WhiteRiverToC_Amelias_Gyrocopter,Quest,Discover the truth of Amelia's final days,アメリアの真実を探る
quest_toc_taza_completion,WhiteRiverToC_Tazas_Axe,item,Quest Reward: WRC[2eb200]Citizen[-] Random Crate,クエスト報酬: WRC[2eb200]一般市民[-]ランダムクレート
quest_toc_taza_name,WhiteRiverToC_Tazas_Axe,quest,[2eb200]Taza's[-],[2eb200]伝説のタザ[-]
quest_toc_taza_offer,WhiteRiverToC_Tazas_Axe,quest,"In the wake of the event, rumors circulated about a fabled axe created by a Master craftswoman named [2eb200]Taza[-]. The citizens of White River banded together to locate this craftswoman only to arrive at just the right moment to save the her life. ",この出来事をきっかけに、[2eb200]タザ[-]という名の名工が作った伝説の斧の噂が広まった。ホワイト・リバー市民は一致団結してこの職人を探し出し、間一髪のところで彼女の命を救った。
quest_tools_of_citizenship_description,WhiteRiverToC__REQUIRED,quest,Protect White River traders and declare their participation in the White River Settlements.,ホワイト・リバートレーダーを保護し、ホワイトリバー入植地への参加を宣言する。
quest_tools_of_citizenship_group,WhiteRiverToC__REQUIRED,quest,"White River - Tools of Citizenship, Become a Citizen",ホワイトリバー - 市民となる
quest_tools_of_citizenship_name,WhiteRiverToC__REQUIRED,quest,Declare your citizenship to White River,[DECEA3]WRC[-] - ホワイト・リバー市民権への宣言
quest_tools_of_citizenship_offer,WhiteRiverToC__REQUIRED,quest,White River citizens are always ready for an attack from zombies. Complete trader defense quests requested by White River traders to qualify as a trader citizen.,ホワイト・リバー市民は常にゾンビからの襲来に備えています。ホワイト・リバー・トレーダーから依頼されるトレーダー防衛クエストを達成し、トレーダー市民の資格を得ましょう。
quest_tools_of_citizenship_statement,WhiteRiverToC__REQUIRED,quest,Defending the Citizens of White River,ホワイト・リバー市民を防衛する
quest_tools_of_citizenship_subtitle,WhiteRiverToC__REQUIRED,quest,Declare your citizenship to White River,ホワイト・リバー市民権への宣言
quest_WhiteRiverCitizen_description,WhiteRiverToC_zPOWER_UP_KIT,quest,Each trader is constantly on the lookout for zombie attacks. Please defend yourself in case of an attack in a timely manner.,各トレーダーは常にゾンビの襲来におびえています。襲来があった際は、適時防衛してください。
quest_WhiteRiverCitizen_description_title,WhiteRiverToC_zPOWER_UP_KIT,quest,[DECEA3]WRC[-] - Zombie attack,[DECEA3]WRC[-] - ゾンビの襲来
quest_whiteRiverCitizen_hint,WhiteRiverToC_zPOWER_UP_KIT,quest,[2eb200] Defend the traders from the zombie attack. [-],[2eb200]ゾンビの襲来からトレーダーを防衛してください。[-]
quest_WhiteRiverCitizen1,WhiteRiverToC_zPOWER_UP_KIT,,White River Citizenship Certificate,ホワイトリバー市民の証
quest_whiteRiverCitizen2_name,WhiteRiverToC__REQUIRED,quest,[DECEA3]WRC[-] - Tier 1 WR Trader Defense,[DECEA3]WRC[-] - ティア1 WRトレーダー防衛
quest_whiteRiverCitizen2Tip,WhiteRiverToC_zPOWER_UP_KIT,quests,"Thank you for your time. You have now completed your basic quest. We have just sent you [DECEA3] ""WRC Citizen Card"" [-] and [DECEA3] ""WRC Citizen Station"" [-]. The [DECEA3] ""WRC Citizen Card"" [-] is required to craft the Occupation Backpack, so please craft it after careful consideration. The [DECEA3] ""WRC Citizen Station"" [-] is not required for survival, but allows you to exchange WRC-related items for points that can be obtained at each WRC-related event. It is recommended that you set up your own station after you have decided on your own location.",お疲れ様でした。これで基本クエストは完了です。たった今、[DECEA3]「WRC市民カード」[-]と[DECEA3]「WRC市民ステーション」[-]をお送りました。\n\n[DECEA3]「WRC市民カード」[-]は職業バックパックをクラフトするのに必要ですので、十分検討したうえでクラフトなさってください。\n\n[DECEA3]「WRC市民ステーション」[-]はサバイバルに必須ではありませんが、WRC関連のイベントごとに入手できる関連アイテムをポイントに換えて、WRC関連アイテムと交換できるものです。自身の拠点が決まってから設置されるとよいでしょう。\n\nサバイバルになれたら、各地を放浪している[DECEA3]ホワイト・リバー市民トレーダー[-]を訪ねてみましょう。彼らはホワイト・リバー伝説のツールについて何か知っているかもしれません。\n\n[DECEA3]エンドコンテンツは準備中です。是非開発のDiscordグループのメンバーになり、最新情報を入手して下さい。[-]
quest_whiteRiverCitizen2Tip_title,WhiteRiverToC_zPOWER_UP_KIT,quests,[DECEA3]WRC[-] - Basic Quest Completion,[DECEA3]WRC[-] - ゲームの進め方
quest_whiteRiverCitizen3_name,WhiteRiverToC__REQUIRED,quest,[DECEA3]WRC[-] - Tier 2 WR Trader Defense,[DECEA3]WRC[-] - ティア2 WRトレーダー防衛
quest_whiteRiverCitizen4_name,WhiteRiverToC__REQUIRED,quest,[DECEA3]WRC[-] - Tier 3 WR Trader Defense,[DECEA3]WRC[-] - ティア3 WRトレーダー防衛
quest_whiteRiverCitizen5_name,WhiteRiverToC__REQUIRED,quest,[DECEA3]WRC[-] - Tier 4 WR Trader Defense,[DECEA3]WRC[-] - ティア4 WRトレーダー防衛
quest_whiteRiverCitizen6_name,WhiteRiverToC__REQUIRED,quest,[DECEA3]WRC[-] - Tier 5 WR Trader Defense,[DECEA3]WRC[-] - ティア5 WRトレーダー防衛
questblock_toc_amelia_coffin,WhiteRiverToC_Amelias_Gyrocopter,blocks,Amelia's coffin,アメリアの棺
questblock_toc_randomcrate_desc,WhiteRiverToC__REQUIRED,quest,The sealed crates contain random items from the White River Settlement.,封印された木箱の中には、ホワイトリバー集落のアイテムがランダムに入っている。
questdialog_tools_of_citizenship,WhiteRiverToC__REQUIRED,quest,May I become a citizen?,私はホワイト・リバー市民になる資格はありますか？
questitem_coin_taza,WhiteRiverToC_Tazas_Axe,item,Tools of Citizenship - Taza's Axe,[2eb200]伝説のタザ[-] - 市民コイン
questitem_toc_amelia1_desc,WhiteRiverToC_Amelias_Gyrocopter,items,This note contains a rumor that the local trader has a map to Amelia Earhart’s grave. Follow the clues to uncover the truth of what happened to Amelia and learn how to help complete her life's secret work.,このメモには、地元の商人がアメリア・イアハートの墓への地図を持っているという噂が書かれている。手がかりをたどってアメリアに何が起こったのかの真実を明らかにし、彼女の人生の秘密の仕事を完成させる手助けをする方法を学ぶ。
questitem_toc_amelia1_name,WhiteRiverToC_Amelias_Gyrocopter,items,[7fa6ff]Amelia Earhart's[-] - Gyrocopter,[7fa6ff][アメリア・イアハート][-] - ジャイロコプター
questitem_toc_citizencard_description,WhiteRiverToC__REQUIRED,item,White River Citizen Card. Proof of membership in the settlement.\n\n\[2eb200]Important[-]: This item is craft item of WRC class back pack.,ホワイトリバー集落の一員であることを証明する。\n\n[2eb200]重要[-]: WRC職業バックパックの主要クラフトアイテムです。クエストティアアップ時にも支給されます。
questitem_toc_citizencard_name,WhiteRiverToC__REQUIRED,item,+White River Citizen Card,[2eb200]一般市民[-]カード
questitem_toc_elitecard_description,WhiteRiverToC__REQUIRED,item,White River Elite Citizen Card. Proof of elite membership in the settlement.\n\n\[2eb200]Important[-]: This item is craft item of WRC class back pack.,ホワイトリバー集落のエリート市民であることを証明する。\n\n[2eb200]重要[-]: WRC職業バックパックの主要クラフトアイテムです。クエストティアアップ時にも支給されます。
questitem_toc_elitecard_name,WhiteRiverToC__REQUIRED,item,+White River Elite Citizen Card,[5f40c4]エリート市民[-]カード
questitem_toc_veterancard_description,WhiteRiverToC__REQUIRED,item,White River Veteran Card. Proof of being a veteran citizen.\n\n\[2eb200]Important[-]: This item is craft item of WRC class back pack.,ホワイトリバー集落のベテラン市民であることを証明する。\n\n[2eb200]重要[-]: WRC職業バックパックの主要クラフトアイテムです。クエストティアアップ時にも支給されます。
questitem_toc_veterancard_name,WhiteRiverToC__REQUIRED,item,+White River Veteran Citizen Card,[7fa6ff]ベテラン市民[-]カード
